iter	Passed	Remaining
0	103	10291
1	105	5145
2	106	3430
3	107	2571
4	107	2049
5	108	1703
6	109	1454
7	110	1267
8	110	1121
9	111	1005
10	112	911
11	113	831
12	114	763
13	114	705
14	115	655
15	116	611
16	117	571
17	117	536
18	118	505
19	119	477
20	120	451
21	120	428
22	121	407
23	122	387
24	123	370
25	124	353
26	124	337
27	125	323
28	126	309
29	127	296
30	127	284
31	128	273
32	129	262
33	133	258
34	134	249
35	134	239
36	135	231
37	136	222
38	137	214
39	137	206
40	138	199
41	139	192
42	140	185
43	140	179
44	141	172
45	142	166
46	142	161
47	143	155
48	144	150
49	145	145
50	145	140
51	146	135
52	147	130
53	148	126
54	149	122
55	149	117
56	150	113
57	151	109
58	151	105
59	152	101
60	153	97
61	153	94
62	154	90
63	155	87
64	155	83
65	156	80
66	157	77
67	158	74
68	158	71
69	159	68
70	160	65
71	160	62
72	161	59
73	162	57
74	163	54
75	163	51
76	164	49
77	165	46
78	165	44
79	166	41
80	167	39
81	168	36
82	169	34
83	169	32
84	170	30
85	171	27
86	172	25
87	172	23
88	173	21
89	174	19
90	175	17
91	175	15
92	176	13
93	177	11
94	178	9
95	179	7
96	180	5
97	180	3
98	181	1
99	182	0
