iter	RMSE
0	14.63681657
1	14.28219515
2	13.91664937
3	13.55291463
4	13.24259887
5	12.95984208
6	12.66344311
7	12.38429101
8	12.10002129
9	11.80538701
10	11.53204321
11	11.29583655
12	11.0818017
13	10.82631838
14	10.59334777
15	10.35992188
16	10.13932188
17	9.934424757
18	9.730031293
19	9.542030611
20	9.379466164
21	9.215424635
22	9.046768972
23	8.895417562
24	8.743866403
25	8.616254967
26	8.479727454
27	8.357888006
28	8.234081212
29	8.102745228
30	7.997228559
31	7.89867311
32	7.790466251
33	7.692316927
34	7.583206909
35	7.488429298
36	7.390775705
37	7.309366
38	7.217439086
39	7.143592197
40	7.06330478
41	6.993620013
42	6.919679965
43	6.856935043
44	6.795334405
45	6.736908759
46	6.669603801
47	6.616226821
48	6.554009955
49	6.498997705
50	6.454109887
51	6.399577518
52	6.352804579
53	6.3064748
54	6.267394696
55	6.225526117
56	6.185295222
57	6.150586897
58	6.11432378
59	6.079619181
60	6.049855426
61	6.015163987
62	5.986606147
63	5.954428646
64	5.925971541
65	5.90268956
66	5.873299362
67	5.846842667
68	5.821317942
69	5.793342782
70	5.767216782
71	5.747295549
72	5.725310452
73	5.702756712
74	5.683957566
75	5.665755728
76	5.651615036
77	5.635551682
78	5.617830463
79	5.60189151
80	5.587419003
81	5.572152556
82	5.554539158
83	5.538912095
84	5.524071564
85	5.505338365
86	5.490996189
87	5.481251208
88	5.470360367
89	5.453239301
90	5.440534987
91	5.430939345
92	5.41923692
93	5.412674808
94	5.403146323
95	5.392039452
96	5.377703676
97	5.368357221
98	5.35610124
99	5.347809656
100	5.337286867
101	5.327776095
102	5.318806339
103	5.308657565
104	5.299321472
105	5.292137308
106	5.283911693
107	5.278534486
108	5.271594007
109	5.264219721
110	5.262719171
111	5.255568606
112	5.246716174
113	5.240435502
114	5.234804257
115	5.228150672
116	5.219850473
117	5.215739986
118	5.213474891
119	5.202792647
120	5.196873956
121	5.194388215
122	5.188202223
123	5.182973177
124	5.179073309
125	5.17226091
126	5.16949064
127	5.167006953
128	5.160376882
129	5.154198845
130	5.145705642
131	5.140123181
132	5.132834069
133	5.127097798
134	5.122321518
135	5.117754844
136	5.112922475
137	5.104790198
138	5.100860206
139	5.096831707
140	5.096313181
141	5.092854653
142	5.08722614
143	5.083707141
144	5.079315577
145	5.07363715
146	5.06944554
147	5.06490654
148	5.059605696
149	5.053303423
150	5.04873236
151	5.045454532
152	5.04202618
153	5.036172207
154	5.034119297
155	5.028302349
156	5.025239941
157	5.01928401
158	5.016172057
159	5.011944038
160	5.008287985
161	5.004324539
162	5.000791719
163	4.998292842
164	4.992585385
165	4.985961866
166	4.982477571
167	4.97479994
168	4.970566699
169	4.966401401
170	4.964365546
171	4.960769952
172	4.956652979
173	4.952581497
174	4.945433738
175	4.939529166
176	4.935375053
177	4.930903974
178	4.92656901
179	4.922246133
180	4.919973834
181	4.915486935
182	4.909609884
183	4.905877878
184	4.901771647
185	4.896768619
186	4.892029241
187	4.888205155
188	4.884231718
189	4.878743348
190	4.874592089
191	4.871959506
192	4.867924438
193	4.863582391
194	4.860727422
195	4.859418808
196	4.853689107
197	4.845955974
198	4.843537017
199	4.838146915
200	4.83559735
201	4.830224903
202	4.82435859
203	4.822348544
204	4.81918739
205	4.817355971
206	4.815774128
207	4.810189085
208	4.806423378
209	4.803313985
210	4.799165255
211	4.79731473
